,age_at_visit,LANGUAGE,OTHER_LANGUAGE,INCOME,RACE_1,CURRENT_GENDER,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,RIG
863,6.626285421387289,10.874212934830874,10.874212934830874,3.7244658153261923,4.414781316193577,0.7005357985274543,3.366418294632178,1.0928532213062145,3.194732835325428,0.2854982992486106,6.967322339222356,0.686860861630378,52.80818007246142
582,5.201787592859379,10.874212934830874,10.874212934830874,5.319624083153237,0.5188618384060617,0.7005357985274543,7.552284839943512,1.3565435466970626,3.194732835325428,4.570432186653771,0.17985504760942259,0.686860861630378,51.029944500467444
1759,6.173773216689782,0.3684013809112801,9.874212934830874,4.304357326499926,3.3984795038644764,8.552284839943512,1.1428939038058101,4.808123744373102,3.655044414368713,3.8298188154724206,0.17985504760942259,1.4230018229985455,47.71024695136786
1332,4.829818815472421,6.173773216689782,10.874212934830874,3.7244658153261923,4.414781316193577,1.4333437672200044,1.3292485020416374,5.173773216689782,0.7617734280493221,3.8298188154724206,3.5613299795465188,1.4230018229985455,47.52934163053108
446,6.350650978773861,10.874212934830874,10.874212934830874,2.494834567759612,4.414781316193577,1.4333437672200044,3.366418294632178,1.3565435466970626,0.7617734280493221,0.2854982992486106,3.5613299795465188,1.4230018229985455,47.19660187078103
468,6.481895512052114,9.874212934830874,8.874212934830874,3.414781316193577,4.414781316193577,0.7005357985274543,5.382359838501199,3.755271862107367,2.797397337780043,0.2854982992486106,0.17985504760942259,0.686860861630378,46.847663059505486
1193,5.447948180128776,0.3684013809112801,3.9084286501687875,2.7449299178859077,7.173773216689782,7.874212934830874,1.3292485020416374,5.173773216689782,3.655044414368713,4.570432186653771,3.5613299795465188,0.686860861630378,46.494383441546205
431,6.626285421387289,6.173773216689782,4.943475597267988,5.967322339222356,4.414781316193577,0.7005357985274543,5.382359838501199,4.808123744373102,2.797397337780043,0.2854982992486106,3.5613299795465188,0.686860861630378,46.347743750368295
118,5.350650978773861,8.552284839943512,4.943475597267988,4.304357326499926,4.414781316193577,0.7005357985274543,7.552284839943512,4.808123744373102,0.7617734280493221,0.2854982992486106,3.5613299795465188,0.686860861630378,45.92195700999777
1463,6.704287933388562,10.874212934830874,10.874212934830874,4.304357326499926,3.3984795038644764,1.4333437672200044,1.1428939038058101,1.3565435466970626,3.655044414368713,0.0,0.17985504760942259,1.4230018229985455,45.346233136114265
885,5.967322339222356,8.552284839943512,10.874212934830874,2.7449299178859077,4.414781316193577,0.7005357985274543,1.3292485020416374,5.173773216689782,0.7617734280493221,0.2854982992486106,3.5613299795465188,0.686860861630378,45.05255143380993
936,6.704287933388562,8.289250434109718,4.943475597267988,2.7449299178859077,7.173773216689782,0.7005357985274543,1.1428939038058101,4.808123744373102,3.655044414368713,0.2854982992486106,3.5613299795465188,0.686860861630378,44.69600410084254
207,6.173773216689782,8.552284839943512,10.874212934830874,2.7656884780527053,4.414781316193577,0.7005357985274543,1.3292485020416374,1.0928532213062145,0.7617734280493221,0.0,6.967322339222356,0.686860861630378,44.31933493648782
1793,6.016231939703302,8.552284839943512,10.874212934830874,3.7244658153261923,0.5188618384060617,0.7005357985274543,1.3292485020416374,4.808123744373102,3.194732835325428,0.2854982992486106,3.5613299795465188,0.686860861630378,44.25238738890306
1739,6.552284839943512,3.7656884780527053,10.874212934830874,2.7656884780527053,4.414781316193577,1.4333437672200044,1.3292485020416374,1.0928532213062145,2.797397337780043,6.016231939703302,0.17985504760942259,1.4230018229985455,42.64458768573254
556,6.414781316193577,3.7656884780527053,10.874212934830874,4.304357326499926,2.808123744373102,1.4333437672200044,3.366418294632178,3.755271862107367,3.8518451218024197,0.2854982992486106,0.17985504760942259,1.4230018229985455,42.46239801556872
235,5.626285421387289,4.092853221306215,7.289250434109718,3.7244658153261923,0.5188618384060617,7.874212934830874,1.1428939038058101,1.3565435466970626,3.194732835325428,6.016231939703302,0.17985504760942259,1.4230018229985455,42.43918876150592
1380,6.173773216689782,9.874212934830874,10.874212934830874,3.414781316193577,0.5188618384060617,0.7005357985274543,1.1428939038058101,1.0928532213062145,3.8518451218024197,0.2854982992486106,3.5613299795465188,0.686860861630378,42.17765942681858
