LANGUAGE,INCOME,CURRENT_GENDER,RACE_1,MARITAL_STATUS,EDUCATION,EMPLOYMENT,LGBT_IDENTITY,ETHNICITY_1,GENDER,OTHER_LANGUAGE,dis-score,score
13,10.0,1.0,5.0,3,4.0,3.0,0.0,0.0,2.0,0.0,0.9872,201600.0
13,6.0,0.0,5.0,3,3.0,1.0,0.0,0.0,1.0,-999.0,0.0601,48.0
13,6.0,-999.0,5.0,3,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,7.0,1.0,5.0,1,3.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,1.0,5.0,3,0.0,4.0,-999.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
13,7.0,0.0,5.0,3,4.0,0.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,1,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,8.0,1.0,5.0,3,4.0,0.0,2.0,0.0,2.0,1.0,0.4215,840.0
33,5.0,1.0,5.0,1,4.0,1.0,0.0,2.0,2.0,0.0,0.9972,1216080.0
13,7.0,0.0,5.0,1,4.0,0.0,2.0,0.0,1.0,1.0,0.8409,8640.0
13,10.0,1.0,5.0,1,4.0,3.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,10.0,1.0,5.0,3,3.0,2.0,0.0,0.0,2.0,-999.0,0.7697,5040.0
13,6.0,1.0,2.0,3,4.0,3.0,0.0,0.0,2.0,1.0,0.8709,11520.0
13,9.0,1.0,5.0,1,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
33,6.0,1.0,5.0,1,4.0,2.0,0.0,1.0,2.0,1.0,0.991,307440.0
13,5.0,1.0,5.0,3,4.0,1.0,1.0,0.0,2.0,1.0,0.9651,60480.0
13,3.0,0.0,5.0,3,3.0,2.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,4.0,0.0,5.0,3,3.0,0.0,1.0,0.0,1.0,-999.0,0.9724,80640.0
13,9.0,1.0,5.0,3,4.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
13,1.0,1.0,6.0,3,1.0,2.0,2.0,0.0,2.0,1.0,0.9875,208080.0
13,1.0,1.0,5.0,3,3.0,4.0,0.0,0.0,2.0,-999.0,0.5354,1440.0
13,10.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,-999.0,0.0,0.0
13,4.0,1.0,5.0,3,3.0,0.0,0.0,0.0,2.0,-999.0,0.0,0.0
0,1.0,1.0,4.0,3,3.0,1.0,0.0,0.0,2.0,-999.0,0.9943,529200.0
13,1.0,0.0,5.0,3,3.0,1.0,-999.0,0.0,1.0,-999.0,0.0,0.0
13,10.0,0.0,5.0,1,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
