Combination,Unique Rows,Unique Rows Excluding Columns,Score
"Sex, Ethnicity, Height_W1",16,453,0.0
"Sex, Ethnicity, AgeMRI_W1",42,439,0.3333333333333333
"Sex, Ethnicity, Weight_W1",78,453,0.0
"Sex, Ethnicity, BMI_W1",262,453,0.0
"Sex, Height_W1, AgeMRI_W1",304,439,0.046052631578947366
"Sex, Height_W1, Weight_W1",260,453,0.0
"Sex, Height_W1, BMI_W1",260,453,0.0
"Sex, AgeMRI_W1, Weight_W1",422,439,0.03317535545023697
"Sex, AgeMRI_W1, BMI_W1",448,439,0.03125
"Sex, Weight_W1, BMI_W1",260,449,0.015384615384615385
"Ethnicity, Height_W1, AgeMRI_W1",294,443,0.034013605442176874
"Ethnicity, Height_W1, Weight_W1",255,453,0.0
"Ethnicity, Height_W1, BMI_W1",255,453,0.0
"Ethnicity, AgeMRI_W1, Weight_W1",405,443,0.024691358024691357
"Ethnicity, AgeMRI_W1, BMI_W1",450,443,0.022222222222222223
"Ethnicity, Weight_W1, BMI_W1",255,449,0.01568627450980392
"Height_W1, AgeMRI_W1, Weight_W1",448,443,0.022321428571428572
"Height_W1, AgeMRI_W1, BMI_W1",448,402,0.11383928571428571
"Height_W1, Weight_W1, BMI_W1",243,415,0.15637860082304528
"AgeMRI_W1, Weight_W1, BMI_W1",448,339,0.2544642857142857
"Race, EduYrsEstCap, HandednessScore, EduComp",97,450,0.030927835051546393
"Race, EduYrsEstCap, HandednessScore, Sex",137,456,-0.021897810218978103
"Race, EduYrsEstCap, HandednessScore, Ethnicity",94,456,-0.031914893617021274
"Race, EduYrsEstCap, HandednessScore, Height_W1",299,456,-0.010033444816053512
"Race, EduYrsEstCap, HandednessScore, AgeMRI_W1",391,376,0.1969309462915601
"Race, EduYrsEstCap, HandednessScore, Weight_W1",376,456,-0.007978723404255319
"Race, EduYrsEstCap, HandednessScore, BMI_W1",439,456,-0.00683371298405467
"Race, EduYrsEstCap, EduComp, Sex",38,453,0.0
"Race, EduYrsEstCap, EduComp, Ethnicity",31,453,0.0
"Race, EduYrsEstCap, EduComp, Height_W1",138,453,0.0
"Race, EduYrsEstCap, EduComp, AgeMRI_W1",233,417,0.15450643776824036
"Race, EduYrsEstCap, EduComp, Weight_W1",238,453,0.0
"Race, EduYrsEstCap, EduComp, BMI_W1",401,453,0.0
"Race, EduYrsEstCap, Sex, Ethnicity",40,453,0.0
"Race, EduYrsEstCap, Sex, Height_W1",137,453,0.0
"Race, EduYrsEstCap, Sex, AgeMRI_W1",281,425,0.099644128113879
"Race, EduYrsEstCap, Sex, Weight_W1",264,453,0.0
"Race, EduYrsEstCap, Sex, BMI_W1",409,453,0.0
"Race, EduYrsEstCap, Ethnicity, Height_W1",127,453,0.0
"Race, EduYrsEstCap, Ethnicity, AgeMRI_W1",222,430,0.1036036036036036
"Race, EduYrsEstCap, Ethnicity, Weight_W1",228,453,0.0
"Race, EduYrsEstCap, Ethnicity, BMI_W1",399,453,0.0
"Race, EduYrsEstCap, Height_W1, AgeMRI_W1",440,430,0.05227272727272727
"Race, EduYrsEstCap, Height_W1, Weight_W1",403,453,0.0
"Race, EduYrsEstCap, Height_W1, BMI_W1",403,451,0.004962779156327543
"Race, EduYrsEstCap, AgeMRI_W1, Weight_W1",450,430,0.051111111111111114
"Race, EduYrsEstCap, AgeMRI_W1, BMI_W1",456,430,0.05043859649122807
"Race, EduYrsEstCap, Weight_W1, BMI_W1",403,449,0.009925558312655087
"Race, HandednessScore, EduComp, Sex",109,456,-0.027522935779816515
"Race, HandednessScore, EduComp, Ethnicity",84,456,-0.03571428571428571
"Race, HandednessScore, EduComp, Height_W1",273,456,-0.01098901098901099
"Race, HandednessScore, EduComp, AgeMRI_W1",376,402,0.1356382978723404
"Race, HandednessScore, EduComp, Weight_W1",356,456,-0.008426966292134831
"Race, HandednessScore, EduComp, BMI_W1",431,456,-0.0069605568445475635
"Race, HandednessScore, Sex, Ethnicity",53,456,-0.05660377358490566
"Race, HandednessScore, Sex, Height_W1",161,456,-0.018633540372670808
"Race, HandednessScore, Sex, AgeMRI_W1",311,393,0.19292604501607716
"Race, HandednessScore, Sex, Weight_W1",280,456,-0.010714285714285714
"Race, HandednessScore, Sex, BMI_W1",420,456,-0.007142857142857143
"Race, HandednessScore, Ethnicity, Height_W1",143,456,-0.02097902097902098
"Race, HandednessScore, Ethnicity, AgeMRI_W1",262,400,0.20229007633587787
"Race, HandednessScore, Ethnicity, Weight_W1",250,456,-0.012
"Race, HandednessScore, Ethnicity, BMI_W1",414,456,-0.007246376811594203
"Race, HandednessScore, Height_W1, AgeMRI_W1",429,404,0.11421911421911422
"Race, HandednessScore, Height_W1, Weight_W1",414,456,-0.007246376811594203
"Race, HandednessScore, Height_W1, BMI_W1",414,454,-0.0024154589371980675
"Race, HandednessScore, AgeMRI_W1, Weight_W1",445,404,0.1101123595505618
"Race, HandednessScore, AgeMRI_W1, BMI_W1",453,404,0.10816777041942605
"Race, HandednessScore, Weight_W1, BMI_W1",414,444,0.021739130434782608
"Race, EduComp, Sex, Ethnicity",26,453,0.0
"Race, EduComp, Sex, Height_W1",107,453,0.0
"Race, EduComp, Sex, AgeMRI_W1",246,434,0.07723577235772358
"Race, EduComp, Sex, Weight_W1",241,453,0.0
"Race, EduComp, Sex, BMI_W1",387,453,0.0
"Race, EduComp, Ethnicity, Height_W1",94,453,0.0
"Race, EduComp, Ethnicity, AgeMRI_W1",180,439,0.07777777777777778
"Race, EduComp, Ethnicity, Weight_W1",211,453,0.0
"Race, EduComp, Ethnicity, BMI_W1",377,453,0.0
"Race, EduComp, Height_W1, AgeMRI_W1",432,439,0.032407407407407406
"Race, EduComp, Height_W1, Weight_W1",379,453,0.0
"Race, EduComp, Height_W1, BMI_W1",379,453,0.0
"Race, EduComp, AgeMRI_W1, Weight_W1",444,439,0.03153153153153153
"Race, EduComp, AgeMRI_W1, BMI_W1",456,439,0.03070175438596491
"Race, EduComp, Weight_W1, BMI_W1",379,449,0.010554089709762533
"Race, Sex, Ethnicity, Height_W1",52,453,0.0
"Race, Sex, Ethnicity, AgeMRI_W1",85,434,0.2235294117647059
"Race, Sex, Ethnicity, Weight_W1",134,453,0.0
"Race, Sex, Ethnicity, BMI_W1",287,453,0.0
"Race, Sex, Height_W1, AgeMRI_W1",336,434,0.05654761904761905
"Race, Sex, Height_W1, Weight_W1",293,453,0.0
"Race, Sex, Height_W1, BMI_W1",293,453,0.0
"Race, Sex, AgeMRI_W1, Weight_W1",433,434,0.04387990762124711
"Race, Sex, AgeMRI_W1, BMI_W1",452,434,0.0420353982300885
"Race, Sex, Weight_W1, BMI_W1",293,449,0.013651877133105802
"Race, Ethnicity, Height_W1, AgeMRI_W1",329,439,0.0425531914893617
"Race, Ethnicity, Height_W1, Weight_W1",282,453,0.0
"Race, Ethnicity, Height_W1, BMI_W1",282,453,0.0
"Race, Ethnicity, AgeMRI_W1, Weight_W1",420,439,0.03333333333333333
"Race, Ethnicity, AgeMRI_W1, BMI_W1",454,439,0.030837004405286344
"Race, Ethnicity, Weight_W1, BMI_W1",282,449,0.014184397163120567
"Race, Height_W1, AgeMRI_W1, Weight_W1",452,439,0.030973451327433628
"Race, Height_W1, AgeMRI_W1, BMI_W1",452,391,0.13716814159292035
"Race, Height_W1, Weight_W1, BMI_W1",277,411,0.15162454873646208
"Race, AgeMRI_W1, Weight_W1, BMI_W1",452,322,0.28982300884955753
"EduYrsEstCap, HandednessScore, EduComp, Sex",95,454,-0.010526315789473684
"EduYrsEstCap, HandednessScore, EduComp, Ethnicity",72,452,0.013888888888888888
"EduYrsEstCap, HandednessScore, EduComp, Height_W1",294,454,-0.003401360544217687
"EduYrsEstCap, HandednessScore, EduComp, AgeMRI_W1",389,298,0.39845758354755784
"EduYrsEstCap, HandednessScore, EduComp, Weight_W1",367,454,-0.0027247956403269754
"EduYrsEstCap, HandednessScore, EduComp, BMI_W1",434,454,-0.002304147465437788
"EduYrsEstCap, HandednessScore, Sex, Ethnicity",100,456,-0.03
"EduYrsEstCap, HandednessScore, Sex, Height_W1",294,456,-0.01020408163265306
"EduYrsEstCap, HandednessScore, Sex, AgeMRI_W1",407,381,0.1769041769041769
"EduYrsEstCap, HandednessScore, Sex, Weight_W1",378,456,-0.007936507936507936
"EduYrsEstCap, HandednessScore, Sex, BMI_W1",439,456,-0.00683371298405467
"EduYrsEstCap, HandednessScore, Ethnicity, Height_W1",282,456,-0.010638297872340425
"EduYrsEstCap, HandednessScore, Ethnicity, AgeMRI_W1",386,389,0.16580310880829016
"EduYrsEstCap, HandednessScore, Ethnicity, Weight_W1",365,456,-0.00821917808219178
"EduYrsEstCap, HandednessScore, Ethnicity, BMI_W1",434,456,-0.0069124423963133645
