,Race,EduYrsEstCap,HandednessScore,EduComp,Sex,Ethnicity,Height_W1,AgeMRI_W1,Weight_W1,BMI_W1,RIG
457,5.857980995127572,6.53605290024021,5.273018494406416,6.53605290024021,0.6930740684518844,4.2141248053528475,4.951090399519053,6.857980995127572,5.15754127698648,8.857980995127573,54.934897830579814
58,5.857980995127572,8.857980995127573,4.050626073069968,3.3661278987978975,0.6930740684518844,4.2141248053528475,4.951090399519053,5.273018494406416,7.857980995127572,8.857980995127573,53.97998572010836
25,5.857980995127572,4.33441903907056,2.9510903995190536,3.3661278987978975,0.6930740684518844,4.2141248053528475,3.8135868757691185,5.857980995127572,7.857980995127572,8.857980995127573,47.80434706747165
172,5.050626073069968,4.33441903907056,6.273018494406416,3.3661278987978975,0.6930740684518844,0.08649152562697364,7.857980995127572,6.53605290024021,4.53605290024021,8.857980995127573,47.59182489015926
179,6.53605290024021,4.465663572348812,6.050626073069968,1.5004289905094885,1.3903754450445747,0.08649152562697364,5.53605290024021,6.857980995127572,7.273018494406416,7.857980995127572,47.5546718917418
328,5.857980995127572,3.273018494406416,3.5360529002402097,1.5004289905094885,1.3903754450445747,0.08649152562697364,6.857980995127572,6.857980995127572,8.857980995127573,8.857980995127573,47.07627233146553
128,5.273018494406416,3.8579809951275723,7.273018494406416,3.8579809951275723,1.3903754450445747,4.2141248053528475,3.6100534816839867,6.050626073069968,4.610053481683987,6.53605290024021,46.67328516614354
48,5.857980995127572,3.8579809951275723,4.33441903907056,3.8579809951275723,1.3903754450445747,4.2141248053528475,4.103093492964104,5.68805599368526,4.465663572348812,8.857980995127573,46.62765632897644
32,5.857980995127572,8.857980995127573,2.9510903995190536,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,6.050626073069968,5.398549376490275,7.273018494406416,46.52557217623768
51,5.273018494406416,2.6100534816839867,7.273018494406416,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.8135868757691185,6.53605290024021,6.53605290024021,7.857980995127572,46.307392006188145
356,5.273018494406416,3.6880559936852597,4.050626073069968,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,6.050626073069968,7.857980995127572,8.857980995127573,45.91461446698358
279,5.273018494406416,4.465663572348812,4.273018494406416,1.5004289905094885,0.6930740684518844,4.2141248053528475,3.728697978182606,4.857980995127572,7.857980995127572,8.857980995127573,45.72196938904118
379,5.273018494406416,7.273018494406416,4.33441903907056,3.3661278987978975,1.3903754450445747,0.08649152562697364,4.15754127698648,5.857980995127572,5.857980995127572,7.857980995127572,45.454935159722034
216,0.23227215206310664,6.53605290024021,2.9510903995190536,6.53605290024021,0.6930740684518844,0.08649152562697364,3.728697978182606,7.857980995127572,7.273018494406416,8.857980995127573,44.752712408985616
9,5.273018494406416,1.857980995127572,2.9510903995190536,1.9631632318196284,0.6930740684518844,4.2141248053528475,3.0766212816029124,6.857980995127572,8.857980995127573,8.857980995127573,44.60301626166303
341,5.273018494406416,7.273018494406416,4.103093492964104,1.5004289905094885,1.3903754450445747,4.2141248053528475,3.4656635723488116,4.610053481683987,4.857980995127572,7.857980995127572,44.54573876697179
395,5.050626073069968,3.273018494406416,6.273018494406416,1.5004289905094885,1.3903754450445747,0.08649152562697364,4.103093492964104,6.53605290024021,7.273018494406416,8.857980995127573,44.34410490580214
61,5.273018494406416,2.554200246950469,1.6780719051126378,3.3661278987978975,0.6930740684518844,4.2141248053528475,3.5725787762653236,6.050626073069968,7.857980995127572,8.857980995127573,44.117784258662596
85,0.23227215206310664,6.53605290024021,4.273018494406416,6.53605290024021,1.3903754450445747,0.08649152562697364,5.68805599368526,6.050626073069968,4.398549376490275,8.857980995127573,44.04947585599457
