,age,height (cm)(pre-op),handedness,Marital status,Employment,Education level (1-9),sex,RIG
15,4.857980995127572,4.857980995127572,4.857980995127572,0.27301849440641585,2.5360529002402097,2.0506260730699677,1.15754127698648,20.591181730085786
5,4.857980995127572,4.857980995127572,4.857980995127572,0.27301849440641585,1.857980995127572,1.398549376490275,0.8579809951275721,18.96147284653455
27,4.857980995127572,3.8579809951275723,0.27301849440641585,3.8579809951275723,1.050626073069968,3.8579809951275723,1.15754127698648,18.91310982497315
21,4.857980995127572,3.8579809951275723,0.27301849440641585,3.8579809951275723,2.5360529002402097,2.0506260730699677,1.15754127698648,18.59118173008579
8,4.857980995127572,3.8579809951275723,4.857980995127572,0.27301849440641585,1.857980995127572,1.398549376490275,1.15754127698648,18.261033128393457
20,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,4.857980995127572,2.0506260730699677,0.8579809951275721,18.028587042393088
16,4.857980995127572,3.8579809951275723,0.27301849440641585,0.27301849440641585,4.857980995127572,2.0506260730699677,1.15754127698648,17.328147324251994
14,3.8579809951275723,4.857980995127572,0.27301849440641585,4.857980995127572,1.050626073069968,1.398549376490275,0.8579809951275721,17.15411792447695
23,4.857980995127572,3.8579809951275723,4.857980995127572,0.27301849440641585,1.050626073069968,1.398549376490275,0.8579809951275721,17.154117924476946
19,3.8579809951275723,2.5360529002402097,4.857980995127572,0.27301849440641585,2.5360529002402097,2.0506260730699677,0.8579809951275721,16.96969335333952
18,3.8579809951275723,2.5360529002402097,0.27301849440641585,3.8579809951275723,1.050626073069968,3.8579809951275723,0.8579809951275721,16.29162144822688
10,3.8579809951275723,3.8579809951275723,0.27301849440641585,3.8579809951275723,1.050626073069968,2.0506260730699677,0.8579809951275721,15.80619462105664
26,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,2.5360529002402097,2.0506260730699677,0.8579809951275721,15.706658947505726
11,3.273018494406416,4.857980995127572,0.27301849440641585,0.27301849440641585,1.857980995127572,3.8579809951275723,0.8579809951275721,15.25097946372954
28,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,1.857980995127572,1.398549376490275,1.15754127698648,14.676070627672305
0,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,1.050626073069968,2.0506260730699677,1.15754127698648,14.520792402194392
17,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,1.050626073069968,1.398549376490275,0.8579809951275721,13.569155423755792
12,4.857980995127572,4.857980995127572,0.27301849440641585,0.27301849440641585,1.050626073069968,1.398549376490275,0.8579809951275721,13.569155423755792
7,4.857980995127572,3.8579809951275723,0.27301849440641585,0.27301849440641585,1.050626073069968,2.0506260730699677,1.15754127698648,13.520792402194392
6,4.857980995127572,3.8579809951275723,0.27301849440641585,0.27301849440641585,1.050626073069968,2.0506260730699677,1.15754127698648,13.520792402194392
9,3.8579809951275723,4.857980995127572,0.27301849440641585,0.27301849440641585,1.050626073069968,2.0506260730699677,0.8579809951275721,13.221232120335484
13,3.8579809951275723,3.8579809951275723,0.27301849440641585,0.27301849440641585,2.5360529002402097,1.398549376490275,0.8579809951275721,13.054582250926034
25,4.857980995127572,3.273018494406416,0.27301849440641585,0.27301849440641585,1.050626073069968,2.0506260730699677,1.15754127698648,12.935829901473236
3,3.273018494406416,3.8579809951275723,0.27301849440641585,0.27301849440641585,1.857980995127572,1.398549376490275,1.15754127698648,12.091108126951147
1,3.8579809951275723,2.5360529002402097,0.27301849440641585,0.27301849440641585,1.857980995127572,1.95430353409877,0.8579809951275721,11.610336408534529
2,3.8579809951275723,2.5360529002402097,0.27301849440641585,0.27301849440641585,1.857980995127572,1.95430353409877,0.8579809951275721,11.610336408534529
22,3.273018494406416,2.5360529002402097,0.27301849440641585,0.27301849440641585,1.857980995127572,2.0506260730699677,0.8579809951275721,11.12169644678457
4,2.8579809951275723,3.273018494406416,0.27301849440641585,0.27301849440641585,1.050626073069968,1.398549376490275,1.15754127698648,10.283753204893543
24,2.8579809951275723,3.273018494406416,0.27301849440641585,0.27301849440641585,1.050626073069968,1.398549376490275,1.15754127698648,10.283753204893543
