Column,Unique Rows After Removal,Difference in Unique Rows,Normalized Difference
age_scan,38,12,1.5
parent1_edu,47,3,0.5
Race,48,2,0.4
male,50,0,0.0
income_rank,50,0,0.0
income_median,51,-1,-0.1
parent2_edu,58,-8,-1.3
