age,highest_education,income,race,ethnicity,sex,dis-score,score
8.904,1.0,0.0,5,0,1,0.7086,18.0
11.126,1.0,,5,0,1,0.0,0.0
12.332,1.0,8.0,-1,0,1,0.7694,24.0
9.51,7.0,8.0,5,0,1,0.9388,96.0
16.044,1.0,8.0,5,0,0,0.0,0.0
11.827,2.0,7.0,3,2,1,0.9179,72.0
15.31,2.0,9.0,5,0,0,0.4207,6.0
13.682,2.0,9.0,5,0,0,0.6089,12.0
14.145,1.0,8.0,3,1,0,0.6089,12.0
16.559,5.0,8.0,5,0,0,0.9388,96.0
12.647,1.0,8.0,3,0,0,0.0,0.0
10.718,1.0,8.0,5,0,1,0.0,0.0
15.318,,,5,0,1,0.0,0.0
9.359,,,5,0,1,0.0,0.0
17.332,4.0,5.0,-1,1,1,0.9672,174.0
12.644,1.0,9.0,5,0,0,0.1782,2.0
12.63,1.0,0.0,5,0,1,0.7694,24.0
11.644,1.0,8.0,1,0,1,0.7086,18.0
14.827,1.0,9.0,5,1,0,0.4625,7.0
10.882,,,5,0,0,0.0,0.0
12.904,3.0,5.0,-1,0,1,0.9425,102.0
15.441,,,2,0,1,0.0,0.0
9.444,1.0,8.0,2,0,0,0.4207,6.0
10.581,1.0,8.0,5,0,1,0.0,0.0
9.512,,,5,0,0,0.0,0.0
17.06,3.0,0.0,3,2,0,0.9672,174.0
8.871,1.0,8.0,5,0,1,0.0,0.0
10.156,,,2,0,0,0.0,0.0
8.942,1.0,9.0,2,0,1,0.4207,6.0
11.222,1.0,9.0,5,0,1,0.0,0.0
17.167,3.0,,5,1,0,0.6089,12.0
16.068,1.0,7.0,5,1,1,0.839,36.0
14.033,1.0,9.0,5,0,0,0.0,0.0
9.649,1.0,8.0,5,0,1,0.0,0.0
8.096,1.0,9.0,5,0,0,0.4207,6.0
15.181,,,5,0,1,0.0,0.0
10.29,1.0,9.0,5,0,1,0.0,0.0
16.926,1.0,8.0,5,0,1,0.1782,2.0
12.863,1.0,9.0,5,0,1,0.0,0.0
14.668,1.0,8.0,5,0,1,0.0,0.0
14.29,3.0,7.0,5,1,0,0.839,36.0
15.17,2.0,9.0,5,1,0,0.8208,32.0
13.677,1.0,8.0,5,0,0,0.0,0.0
9.775,3.0,8.0,4,0,0,0.9531,124.0
13.981,1.0,8.0,5,0,0,0.0,0.0
13.838,1.0,8.0,5,0,1,0.0,0.0
9.285,2.0,9.0,-1,1,1,0.9014,60.0
16.195,1.0,9.0,5,0,1,0.0,0.0
13.795,1.0,9.0,5,0,0,0.0,0.0
9.247,1.0,9.0,2,0,1,0.4207,6.0
12.512,1.0,8.0,5,0,1,0.1782,2.0
9.419,,,5,0,0,0.0,0.0
10.353,1.0,9.0,-1,2,0,0.9014,60.0
12.644,,,5,0,0,0.0,0.0
9.608,1.0,8.0,5,0,0,0.0,0.0
16.019,2.0,8.0,5,0,1,0.6484,14.0
9.033,2.0,8.0,3,0,0,0.4992,8.0
10.192,1.0,9.0,5,0,1,0.0,0.0
8.967,1.0,9.0,5,0,1,0.1782,2.0
12.877,1.0,8.0,2,0,0,0.4207,6.0
10.055,1.0,8.0,2,0,0,0.4992,8.0
10.784,,,5,0,0,0.0,0.0
8.548,,,5,0,1,0.0,0.0
11.756,2.0,8.0,3,0,1,0.4207,6.0
13.521,2.0,8.0,3,0,1,0.4207,6.0
12.773,2.0,7.0,2,0,0,0.6484,14.0
13.866,1.0,9.0,2,1,1,0.8101,30.0
8.619,,,5,0,0,0.0,0.0
13.537,3.0,8.0,3,0,0,0.732,20.0
12.312,1.0,9.0,5,0,1,0.0,0.0
11.66,1.0,9.0,3,0,0,0.5602,10.0
15.748,1.0,9.0,5,0,0,0.0,0.0
9.836,2.0,8.0,3,0,1,0.4992,8.0
12.586,,,3,0,1,0.0,0.0
12.874,2.0,9.0,5,0,1,0.6089,12.0
9.838,1.0,8.0,5,1,0,0.6484,14.0
13.288,1.0,9.0,3,0,0,0.0,0.0
14.323,1.0,8.0,2,0,0,0.3174,4.0
14.701,1.0,9.0,5,0,1,0.0,0.0
15.082,1.0,9.0,5,0,0,0.0,0.0
13.474,2.0,8.0,5,0,1,0.3174,4.0
13.244,1.0,9.0,5,0,0,0.0,0.0
10.416,1.0,9.0,2,1,0,0.839,36.0
11.425,,,5,0,1,0.0,0.0
10.54,1.0,9.0,5,0,1,0.0,0.0
12.751,,,3,0,1,0.0,0.0
11.912,1.0,9.0,0,0,1,0.8101,30.0
13.937,,,3,0,0,0.0,0.0
15.707,,,5,0,1,0.0,0.0
17.512,3.0,8.0,5,0,0,0.6089,12.0
12.455,,,5,0,0,0.0,0.0
14.088,1.0,8.0,3,0,0,0.1782,2.0
16.227,1.0,9.0,5,0,0,0.0,0.0
8.252,1.0,5.0,2,0,1,0.9179,72.0
12.066,1.0,8.0,3,0,0,0.0,0.0
