,education_level,sex,handedness,background_SES,gender_identity_M,gender_identity_F,RIG
923,1.2141248053528475,1.060319469273812,0.1679830237081267,2.8026985596263825,7.857980995127572,7.857980995127572,20.961087848216312
400,3.3822475641611742,0.001210542782805496,0.1679830237081267,2.8026985596263825,6.857980995127572,7.53605290024021,20.74817358564627
441,3.3822475641611742,0.001210542782805496,0.1679830237081267,2.8026985596263825,6.857980995127572,7.53605290024021,20.74817358564627
302,3.3822475641611742,1.060319469273812,3.1855556531560767,4.572578776265324,3.9235697177400723,4.53605290024021,20.66032408083667
226,3.3822475641611742,1.060319469273812,3.1855556531560767,4.572578776265324,3.9235697177400723,4.53605290024021,20.66032408083667
661,1.079903865592214,1.060319469273812,3.1855556531560767,2.8026985596263825,7.857980995127572,4.53605290024021,20.522511443016267
814,3.3822475641611742,0.942101616291799,3.1855556531560767,3.1437354774614494,1.9391177578529777,7.857980995127572,20.45073906405105
260,1.2141248053528475,1.060319469273812,0.1679830237081267,2.5092528408964947,7.857980995127572,7.53605290024021,20.345714034599062
600,3.3822475641611742,0.942101616291799,3.1855556531560767,3.130060540564373,4.8135868757691185,4.0,19.45355224994254
324,1.079903865592214,0.942101616291799,0.1679830237081267,1.8467103934001592,6.857980995127572,7.857980995127572,18.752660889247444
402,3.3822475641611742,1.060319469273812,0.1679830237081267,3.1437354774614494,5.770518153877233,4.53605290024021,18.060856588722007
726,1.2141248053528475,0.942101616291799,0.1679830237081267,2.5092528408964947,6.857980995127572,5.857980995127572,17.54942427650441
347,1.079903865592214,1.060319469273812,3.1855556531560767,1.826494159178972,5.770518153877233,4.53605290024021,17.45884420131852
837,1.079903865592214,1.060319469273812,3.1855556531560767,1.826494159178972,5.770518153877233,4.53605290024021,17.45884420131852
475,1.079903865592214,1.060319469273812,0.1679830237081267,2.5092528408964947,7.857980995127572,4.53605290024021,17.21149309483843
348,3.3822475641611742,0.942101616291799,0.1679830237081267,3.2286243750479624,4.835783935448346,4.0,16.556740514657406
338,1.079903865592214,0.942101616291799,0.1679830237081267,1.8467103934001592,6.857980995127572,4.928990497563786,15.823670391683658
55,1.2141248053528475,1.060319469273812,0.1679830237081267,3.1437354774614494,5.770518153877233,3.761834587892189,15.118515517565658
114,1.079903865592214,1.060319469273812,0.1679830237081267,3.171480467944354,4.076621281602913,5.03605290024021,14.592361008361628
403,1.2141248053528475,0.942101616291799,0.1679830237081267,3.1437354774614494,2.3763523168110483,5.857980995127572,13.702278234752843
566,1.2141248053528475,1.060319469273812,0.1679830237081267,2.5092528408964947,3.9834109761480825,4.53605290024021,13.471144015619572
840,1.079903865592214,1.060319469273812,3.1855556531560767,1.9870895137853681,4.076621281602913,1.9876162755441675,13.377106058954551
569,1.079903865592214,1.060319469273812,3.1855556531560767,1.9870895137853681,4.076621281602913,1.9876162755441675,13.377106058954551
459,1.2981861847570109,0.942101616291799,0.1679830237081267,1.8516500676415126,4.8135868757691185,4.0,13.073507768167568
907,1.079903865592214,0.942101616291799,3.1855556531560767,3.2286243750479624,2.3763523168110483,2.235929175671196,13.048467002570295
