,age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,RIG
338,4.903784684740697,8.273018494406417,5.398549376490275,6.857980995127572,7.857980995127572,1.079903865592214,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,3.130060540564373,39.5562101436591
923,4.857980995127572,5.15754127698648,5.398549376490275,7.857980995127572,7.857980995127572,1.2141248053528475,1.060319469273812,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.8026985596263825,37.3200060484307
347,4.770518153877233,5.15754127698648,5.398549376490275,5.770518153877233,4.53605290024021,1.079903865592214,1.060319469273812,3.1855556531560767,1.5542002469504692,2.235929175671196,2.5092528408964947,37.258341113011696
566,4.857980995127572,6.398549376490275,7.53605290024021,6.857980995127572,4.53605290024021,1.2141248053528475,1.060319469273812,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.5092528408964947,36.083143858067174
324,4.68805599368526,4.273018494406416,5.465663572348812,6.857980995127572,7.857980995127572,1.079903865592214,0.942101616291799,0.1679830237081267,1.5542002469504692,0.34425339917513476,2.5633602462359453,35.794502448649325
226,5.15754127698648,1.9510903995190534,1.903784684740697,5.770518153877233,4.53605290024021,3.3822475641611742,1.060319469273812,3.1855556531560767,1.5542002469504692,2.235929175671196,4.572578776265324,35.30981830084173
475,4.465663572348812,5.15754127698648,5.398549376490275,7.857980995127572,4.53605290024021,1.079903865592214,1.060319469273812,0.1679830237081267,0.6005931524349205,2.235929175671196,2.5092528408964947,35.06976964877012
55,6.273018494406416,5.15754127698648,1.903784684740697,5.770518153877233,7.53605290024021,1.2141248053528475,1.060319469273812,0.1679830237081267,0.6005931524349205,2.235929175671196,3.1437354774614494,35.063600614153394
602,4.431716240425474,5.15754127698648,5.951090399519053,4.8135868757691185,4.0,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,2.235929175671196,3.2286243750479624,34.91141370001531
765,4.500428990509489,8.273018494406417,7.53605290024021,4.8135868757691185,4.0,1.079903865592214,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.5092528408964947,34.76717515902393
348,4.500428990509489,4.273018494406416,5.951090399519053,6.857980995127572,4.0,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,3.2286243750479624,34.24832201038165
616,4.431716240425474,6.398549376490275,5.951090399519053,4.8135868757691185,4.0,1.2141248053528475,0.942101616291799,0.1679830237081267,1.5542002469504692,2.235929175671196,2.5092528408964947,34.21853460107486
726,4.500428990509489,5.15754127698648,5.465663572348812,6.857980995127572,5.857980995127572,1.2141248053528475,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,2.5092528408964947,33.61790466795926
296,6.273018494406416,5.15754127698648,5.465663572348812,4.8135868757691185,4.0,1.2141248053528475,0.942101616291799,0.1679830237081267,0.6005931524349205,0.34425339917513476,4.572578776265324,33.55144499273898
114,4.610053481683987,5.15754127698648,5.398549376490275,4.076621281602913,7.53605290024021,1.079903865592214,1.060319469273812,0.1679830237081267,0.6005931524349205,0.34425339917513476,3.171480467944354,33.203351695132426
441,4.857980995127572,2.2141248053528475,2.3581351080443667,6.857980995127572,7.53605290024021,3.3822475641611742,1.060319469273812,0.1679830237081267,1.5542002469504692,0.34425339917513476,2.8026985596263825,33.13597706678767
459,4.050626073069968,5.15754127698648,3.903784684740697,4.8135868757691185,4.0,3.3822475641611742,0.942101616291799,0.1679830237081267,1.5542002469504692,0.34425339917513476,4.572578776265324,32.888903537118296
814,4.366127898797897,2.2141248053528475,3.903784684740697,1.9391177578529777,7.857980995127572,3.3822475641611742,0.942101616291799,3.1855556531560767,1.5542002469504692,0.34425339917513476,3.1437354774614494,32.833230099068096
535,4.273018494406416,6.398549376490275,5.951090399519053,4.8135868757691185,4.0,1.2141248053528475,0.942101616291799,0.1679830237081267,1.5542002469504692,0.34425339917513476,3.171480467944354,32.8303887056076
400,4.398549376490275,1.9510903995190534,1.903784684740697,6.857980995127572,7.53605290024021,3.3822475641611742,0.942101616291799,0.1679830237081267,0.6005931524349205,2.235929175671196,2.8026985596263825,32.77901144801142
908,4.431716240425474,8.273018494406417,5.398549376490275,5.770518153877233,1.9876162755441675,1.079903865592214,1.060319469273812,0.1679830237081267,1.5542002469504692,0.34425339917513476,2.5092528408964947,32.57733138633982
