age,sexual_attraction_M,sexual_attraction_F,gender_identity_M,gender_identity_F,education_level,sex,handedness,religious_upbringing,religious_now,background_SES,dis-score,score
20.25,,,,,2,0,1,1,1,3.0,0.0,0.0
22.0,1.0,7.0,6.0,2.0,0,1,1,0,0,3.0,0.9779,203760.0
22.25,,,,,2,0,1,0,0,3.5,0.0,0.0
22.25,1.0,7.0,7.0,1.0,0,1,1,1,1,5.0,0.0,0.0
24.5,,,,,2,0,1,0,0,2.0,0.0,0.0
24.5,,,,,2,0,1,0,0,2.0,0.0,0.0
22.5,1.0,7.0,7.0,1.0,0,1,1,0,0,5.0,0.0,0.0
20.5,,,,,2,0,1,0,0,4.5,0.0,0.0
22.75,7.0,1.0,1.0,7.0,0,0,0,0,0,6.0,0.9089,35280.0
21.5,,,,,0,0,1,0,0,6.0,0.0,0.0
22.0,,,,,2,0,1,1,0,6.0,0.4131,1560.0
20.75,7.0,1.0,1.0,7.0,2,0,1,1,1,4.0,0.6692,5400.0
20.25,,,,,2,1,1,0,0,3.5,0.0,0.0
22.75,7.0,1.0,1.0,7.0,0,0,1,0,0,4.0,0.0,0.0
21.75,1.0,7.0,7.0,1.0,1,1,1,0,0,3.0,0.8646,20880.0
23.0,7.0,1.0,1.0,7.0,2,0,1,1,1,4.5,0.6812,5760.0
25.75,1.0,7.0,7.0,1.0,0,1,1,1,1,4.0,0.8847,25920.0
22.0,,,,,0,0,1,0,0,5.0,0.0,0.0
25.25,,,,,0,1,1,0,0,6.0,0.0,0.0
25.0,7.0,1.0,1.0,7.0,0,0,1,0,0,5.0,0.0,0.0
23.25,7.0,1.0,1.0,5.0,2,0,1,1,0,2.0,0.979,216720.0
22.5,,,,,0,1,1,1,1,2.0,0.7747,10080.0
23.0,1.0,7.0,7.0,1.0,0,1,1,0,1,3.0,0.8398,16560.0
25.25,,,,,1,0,1,1,0,2.0,0.2673,720.0
23.25,7.0,1.0,1.0,7.0,1,0,1,0,0,5.0,0.7747,10080.0
21.25,1.0,7.0,7.0,1.0,2,1,1,0,0,3.5,0.0,0.0
21.75,6.0,5.0,2.0,6.0,0,0,1,0,0,6.0,0.9951,1214640.0
21.75,2.0,6.0,7.0,1.0,1,1,1,0,0,6.0,0.9886,447120.0
24.5,,,,,0,1,1,0,0,3.0,0.0,0.0
23.5,1.0,7.0,7.0,1.0,1,1,1,0,0,2.0,0.9027,32400.0
23.75,,,,,0,1,1,0,0,5.0,0.0,0.0
24.25,2.0,6.0,6.0,3.0,0,1,1,0,0,3.5,0.9953,1294560.0
23.75,,,,,0,1,0,0,0,5.5,0.0,0.0
20.25,6.0,2.0,2.0,6.0,0,0,1,0,0,5.0,0.9714,149040.0
23.25,6.0,2.0,1.0,7.0,2,0,1,0,0,5.0,0.7025,6480.0
24.0,1.0,7.0,7.0,1.0,2,1,1,1,0,4.0,0.2673,720.0
25.5,,,,,0,1,1,1,1,5.0,0.6561,5040.0
22.75,,,,,2,0,1,1,1,3.5,0.0,0.0
